PURPOSE,Total_Loan_Applications,Total_Funded_Amount,Total_Amount_Received
car,577,3629475,3805538
credit card,1353,12636075,13339495
Debt consolidation,3753,37216300,38822971
educational,79,484000,515639
home improvement,933,8359175,8744006
house,91,916575,957878
major purchase,796,5344575,5604259
medical,197,1471850,1526882
moving,164,1069450,1099875
other,1024,7043175,7397982
renewable_energy,29,224150,225827
small business,334,3172075,3190467
vacation,122,683625,694542
wedding,237,2001725,2126202
